Code;Libellé;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;Stock;Emplacement stock;Valeur unitaire;Total;Fabricant;Ref. fabricant;Fournisseur;Réf fournisseur;Dépréciation;Code barre;Unité;Poids net;Poids brut;Prix;Prix ttc;Code tva;Taux tva;Catégorie;Sous catégorie;Garantie;Nombre de colis
DE88683;Câble antenne N M > N F 6m LMR195 low loss;GEN-;GEN-DE88683;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J3;12,6;25,2;;;;;;4043619886838;;;;29,9;35,88;1;20;;;;
BATACERMBWM1;Batterie pour Acer TravelMate 5744;ACE-;ACE-BATACERMBWM1;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;ACER;;;1;;25;25;;;;;;;;;;49;58,8;1;20;;;;
B00M6SXBUA;CSL - 10m Ultra HD 4k HDMI Câble | High Speed par Ethernet | Full HD 1080P / 4K Ultra HD 2160P / 3D / ARC et CEC | Câble Triple Blindage + Blindage Fiche et Contacts;CSL-;CSL-B00M6SXBUA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CSL;;;2;J1;12,49;24,98;;;;;;B00M6SXBUA;;;;14,99;17,988;1;20;;;;
MD464ZM/A;Apple Thunderbolt to FireWire Adapter;APP-;APP-MD464ZM/A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;APPLE;;;1;B4;24,2;24,2;;;TECH DATA;2546258;;4547597800867;;;;29,17;35,004;1;20;Composants;Câbles & Adaptateurs;;
NM-W360BLACK;NewStar NeoMounts NM-W360BLACK - montage mural;NEW-;NEW-NM-W360BLACK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEWSTAR;;;1;A4;22,1;22,1;;;;;;8717371444655;;;;37,46;44,952;1;20;;;;
C5CS1B100;Boîte de 100 connecteurs RJ45 STP sans insert;GEN-;GEN-C5CS1B100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;I3;20,92;20,92;;;;;;C5CS1B100;;;;42;50,4;1;20;;;;
CG-211;Mcl samar - adaptateur video hd-15 (f) - dvi-i (m);MCL-;MCL-CG-211;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;;;5;I1;4,07;20,35;;;;;;3700224717384;;;;8,33;9,996;1;20;;;;
JD-0700FR-2;Ensemble clavier/souris sans fil DW 3000;CHE-;CHE-JD-0700FR-2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CHERRY;;;1;B5;20,15;20,15;;;;;;4025112081385;;;;24,99;29,988;1;20;;;;
MXTHQ10M;StarTech.com Câble d'extension vidéo pour écran VGA haute résolution - HD15 M/F - rallonge de câble VGA - 10 m;STA-;STA-MXTHQ10M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;STARTECH;;;1;J4;19,59;19,59;;;;;;65030847582;;;;33,99;40,788;1;20;;;;
B00H1SUYEQ;HDMI Splitter 4 fach 1x4 1080p auch für 3D 1:4 Verteiler Full HD 1 input 4 output;CAB-;CAB-B00H1SUYEQ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;K4;18,325;18,33;;;;;;B00H1SUYEQ;;;;21,99;26,388;1;20;;;;
