Code;Libellé;STOCK À TRANSFÉRER SUR GLE;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;N° DE SÉRIE;Prix vente HT;Prix achat HT;Emplacement stock;Nom fournisseur;Code barre;
MQPC8888M/5;Plastron DVI / 5m;5;GEN-;GEN-MQPC8888M/5;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	20,00  € ; 	-      ;K5;;MQPC8888M/5;
CG-211;Mcl samar - adaptateur video hd-15 (f) - dvi-i (m);5;MCL-;MCL-CG-211;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;0;0;; 	8,33  € ; 	6,66  € ;I1;MCL SAMAR;3700224717384;
81683;C2G - Câble USB - USB à 9 broches Type A (M) - Micro-USB Type B 10 broches (M) -;5;C2G-;C2G-81683;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;C2G;0;0;; 	10,38  € ; 	-      ;I1;;757120816836;
2051034;Plastron 45x45 VGA+Jack 3,5mm F>M-10m;4;GEN-;GEN-2051034;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	32,99  € ; 	32,99  € ;;TECH DATA FRANCE;;
66693;Plastron 45x45 VGA audio + câble de 0,2m;4;GEN-;GEN-66693;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	20,00  € ; 	40,00  € ;J1;INTEGRATION-RESEAU.COM;66693;
LEX24B6010;LEXMARK To jaune HC XC2132;4;LEW-;LEW-LEX24B6010;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;0;; 	90,00  € ; 	99,17  € ;BUREAU COMPTA;OCTANT;734646498760;
LEX24B6011;LEXMARK To bk HC XC2132;4;LEX;LEXLEX24B6011;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;0;; 	89,00  € ; 	76,21  € ;BUREAU COMPTA;OCTANT;734646498777;
C540X75G;Lexmark - Collecteur de toner usagé LCCP - pour Lexmark CS310, CS410, CS510, CX4;4;LEX-;LEX-C540X75G;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ACCESSOIRES;0;; 	8,42  € ; 	16,66  € ;BUREAU COMPTA+C3;;734646074148;
UB-POE24-24G;Injecteur PoE passif Ubiquiti 24V 24W Giga;4;UBI-;UBI-UB-POE24-24G;NUFARTSTKSTD;MATERIEL;RESEAU;UBIQUITI;ACCESSOIRES;0;; 	22,90  € ; 	22,90  € ;D1;EDOX;810354023538;
30283;DLP ANGL. PLT VAR.BLC 40X20;4;GEN-;GEN-30283;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	4,43  € ; 	4,43  € ;K5;CGED;3414971074835;
DEM-311GT/2;D-Link DEM 311GT;4;DLI-;DLI-DEM-311GT/2;NUFARTSTKSTD;MATERIEL;RESEAU;DLINK;ACCESSOIRES;0;; 	155,00  € ; 	-      ;C2;TECH DATA FRANCE;DEM-311GT/2;
SDSDXXG-032G;Carte Mémoire SDHC Sandisk Extreme Pro 32 Go jusqu'à 95 Mo/s;4;SAN-;SAN-SDSDXXG-032G;NUFARTSTKSTD;MATERIEL;COMPOSANTS;SANDISK;MEMOIRES;0;; 	35,00  € ; 	35,00  € ;C3;AMAZON;619659147655;
AP170;Borne Aerohive AP170;4;AER-;AER-AP170;NUFARTSTKSERIE;MATERIEL;RESEAU;AEROHIVE;WIFI;0;17013120600063,17013120600332,17013120600334,17013120600365; 	-      ; 	-      ;D2;;E01C4171D700;
A3L791B01M-GRY;Belkin cordon de raccordement - 1 m - gris;4;BEL-;BEL-A3L791B01M-GRY;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;BELKIN;0;0;; 	-      ; 	-      ;I2;;722868188200;
703216-001;Adaptateur mini Display Port vers DP - HP;4;CAB-;CAB-703216-001;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	20,83  € ; 	-      ;I2;;703216-001;
TM-LCD;Vision TM-LCD support mural d'écran plat - Supports muraux d'écrans plats (50 kg, Aluminium);3;VIS;VISTM-LCD;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	5,05  € ; 	16,05  € ;AMAZON;;1932374000005;
POE-24-12W-G;UBIQUITI POE-24-12W-G Injecteur PoE 24 V 12W avec port LAN Gigabit ;3;UBI-;UBI-POE-24-12W-G;NUFARTSTKSTD;MATERIEL;RESEAU;UBIQUITI;ACCESSOIRES;0;; 	15,59  € ; 	15,59  € ;D2;LDLC PRO;810354023002;
