CAT;INUT1;INUT2
CAT;INUT1;INUT2
Gamme->Logiciel->Type->Antispam;INUT1;INUT2
Gamme->Logiciel->Type->Antivirus;INUT1;INUT2
Gamme->Logiciel->Type->DAO;INUT1;INUT2
Gamme->Logiciel->Type->Gestion;INUT1;INUT2
Gamme->Logiciel->Type->Bureautique;INUT1;INUT2
Gamme->Logiciel->Type->Filtrage url;INUT1;INUT2
Gamme->Logiciel->Type->Messagerie;INUT1;INUT2
Gamme->Logiciel->Type->Développement;INUT1;INUT2
Gamme->Logiciel->Type->Police;INUT1;INUT2
Gamme->Logiciel->Type->Sauvegarde;INUT1;INUT2
Gamme->Logiciel->Type->Sécurité;INUT1;INUT2
Gamme->Logiciel->Type->Système d'exploitation;INUT1;INUT2
Gamme->Logiciel->Type->Utilitaire;INUT1;INUT2
Gamme->Logiciel->Type->Virtual Private Network;INUT1;INUT2
Gamme->Logiciel->Type->Virtualisation;INUT1;INUT2
Gamme->Logiciel->Nature->Open Source;INUT1;INUT2
Gamme->Logiciel->Nature->Freeware;INUT1;INUT2
Gamme->Logiciel->Nature->Commercial;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Laser;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Etiquette;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Grand format;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Jet d'encre;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Matricielle;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Traceur;INUT1;INUT2
Gamme->Matériel->Type->Imprimante->Multifonction ;INUT1;INUT2
Gamme->Matériel->Type->Armoire;INUT1;INUT2
Gamme->Matériel->Type->Baie;INUT1;INUT2
Gamme->Matériel->Type->Client léger;INUT1;INUT2
Gamme->Matériel->Type->Station accueil;INUT1;INUT2
Gamme->Matériel->Type->Station travail;INUT1;INUT2
Gamme->Matériel->Type->Réseau->Câble réseau;INUT1;INUT2
Gamme->Matériel->Type->Réseau->Carte réseau;INUT1;INUT2
Gamme->Matériel->Type->Réseau->Controleur;INUT1;INUT2
Gamme->Matériel->Type->Réseau->Firewall;INUT1;INUT2
Gamme->Matériel->Type->Réseau->Routeur;INUT1;INUT2
Gamme->Matériel->Type->Réseau->Modem;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Batterie;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Chargeur;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Clavier;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Batterie;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Câble USV;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Adaptateur;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Alimentation;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Hub;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Connecteur;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Câble vidéo;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Convertisseur;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Lecteur de bande;INUT1;INUT2
Gamme->Matériel->Type->Accessoire->Souris;INUT1;INUT2
Gamme->Matériel->Type->Composant->Carte mère;INUT1;INUT2
Gamme->Matériel->Type->Composant->Carte son;INUT1;INUT2
Gamme->Matériel->Type->Composant->Mémoire;INUT1;INUT2
Gamme->Matériel->Type->Composant->Processeur;INUT1;INUT2
Gamme->Matériel->Type->Composant->Répéteur;INUT1;INUT2
Gamme->Service->Type->Certificats;INUT1;INUT2
Gamme->Service->Type->Installation;INUT1;INUT2
Gamme->Service->Type->Dépannage;INUT1;INUT2
Gamme->Service->Type->Gestion de projet;INUT1;INUT2
Gamme->Service->Type->Formation;INUT1;INUT2
Gamme->Service->Type->Délégation;INUT1;INUT2
Gamme->Service->Type->Déplacement;INUT1;INUT2
Gamme->Service->Type->Hotline;INUT1;INUT2
Gamme->Service->Type->Maintenance;INUT1;INUT2
Gamme->Service->Type->Audit;INUT1;INUT2
Gamme->Service->Type->Développement;INUT1;INUT2
Gamme->Service->Type->Livraison;INUT1;INUT2
Gamme->Service->Type->Nom de domaine;INUT1;INUT2
Gamme->Service->Type->Hébergement;INUT1;INUT2
Gamme->Service->Type->Location;INUT1;INUT2
Gamme->Service->Type->Supervision;INUT1;INUT2
Gamme->Service->Type->Télécom;INUT1;INUT2
Gamme->Service->Type->Frais accès service;INUT1;INUT2
Gamme->Service->Nature->Sur site BIMP;INUT1;INUT2
Gamme->Service->Compétence->Reseau;INUT1;INUT2
Gamme->Service->Compétence->Anykey;INUT1;INUT2
Gamme->Matériel->Nature->Neuf;INUT1;INUT2
Marque->Nature->Externe->ASMX;INUT1;INUT2
Marque->Nature->Partagé->BIMP-ASMX;INUT1;INUT2
Marque->Nature->Partagé->BIMP-Checkpoint;INUT1;INUT2
