 ID;Code dŽp™t;Code article;Stock dŽp™t
ARDID;ArdGDepCode;ArdGArtCode;ArdStk
1909;COM;APP-MU7E2ZM/A;6
1910;COM;APP-MUFG2ZM/A;1
1918;COM;APP-MRW62ZM/A;6
1919;COM;ACC-AVKB-T00;2
1944;COM;APP-MKQ42ZM/A;3
1964;COM;APP-MVQG2ZM/A;2
1967;COM;APP-MVQF2ZM/A;1
1974;COM;APP-MR8U2ZM/A;1
1981;COM;QDO-QD-10613821K;1
1989;COM;STM-222-216L-01;1
1991;COM;APP-MM4T2ZM/A;2
2012;COM;APP-MRW22ZM/A;4
2017;COM;QDO-QD-5139C-HUBSG;10
2073;DCOM;APP-3D990ZM/A;1
2074;DCOM;APP-3E046ZM/A;1
2080;COM;APP-MWVU2ZM/A;3
2088;COM;APP-MWVG2ZM/A;5
2089;COM;APP-MX0H2ZM/A;6
2090;COM;APP-MWYK2ZM/A;6
2091;COM;APP-MWYE2ZM/A;2
2099;COM;QDO-QD-1033-CL;4
2122;COM;APP-MWYH2ZM/A;1
2125;COM;APP-MWYN2ZM/A;1
2129;COM;APP-MWYV2ZM/A;2
2139;COM;APP-MX2E2ZM/A;4
2140;COM;APP-MX2H2ZM/A;5
2141;COM;APP-MX0J2ZM/A;5
2142;COM;APP-MX0K2ZM/A;11
2154;COM;QDO-QD-1133-CL;2
2155;COM;QDO-QD-116533-CL;7
2172;COM;APP-MWVX2ZM/A;1
2173;COM;APP-MWYG2ZM/A;2
2175;COM;APP-MXLY2ZM/A;19
2178;COM;APP-MWU62ZM/A;1
2181;COM;APP-MX3Q2ZM/A;1
2187;COM;BEL-F7U083VFWHT;1
2188;COM;BEL-F7U082VFBLK;2
2192;COM;APP-MUF82ZM/A;10
2194;COM;QDO-QD-31140-K;2
2195;COM;QDO-QD-310540-K;4
2204;COM;BEL-F4U092BTSGY;2
2209;COM;APP-MXQT2F/A;1
2211;COM;APP-MXNK2F/A;1
2240;COM;APP-MXYJ2ZM/A;2
2241;COM;APP-MXYK2ZM/A;3
2242;COM;APP-MXYH2ZM/A;1
2252;COM;APP-MWYL2ZM/A;2
2253;COM;APP-MXT92ZM/A;1
2254;COM;APP-MXTD2ZM/A;1
2255;COM;APP-MXT82ZM/A;1
2258;COM;APP-MXT32ZM/A;1
2259;COM;APP-MWYX2ZM/A;2
2260;COM;APP-MWYY2ZM/A;1
2261;COM;APP-MX0G2ZM/A;1
2268;COM;APP-MXNU2ZM/A;1
2270;COM;APP-MXP02ZM/A;1
2271;COM;APP-MTPK2ZM/A;1
2279;COM;APP-MLFQ2ZM/A;2
2292;COM;APP-MXYL2ZM/A;1
2300;COM;APP-3H110ZM/A;1
2324;COM;BEL-WIZ002VFBK;11
2325;COM;BEL-WIZ002VFWH;6
2326;COM;BEL-F7U096VF04-WHT;2
2327;COM;BEL-CCD001BT1MBK;1
2329;COM;APP-MGYR3ZM/A;1
2331;COM;APP-MGYQ3ZM/A;1
2350;COM;APP-MHL23ZM/A;1
2352;COM;APP-MHKY3ZM/A;2
2353;COM;APP-MHL33ZM/A;1
2354;COM;APP-MHL03ZM/A;3
2355;COM;APP-MHL53ZM/A;3
2356;COM;APP-MHL73ZM/A;4
2358;COM;APP-MHLM3ZM/A;7
2359;COM;APP-MHXH3ZM/A;11
2360;COM;APP-MHJE3ZM/A;1
2362;COM;APP-MHLP3ZM/A;3
2364;COM;APP-MHLT3ZM/A;4
2383;COM;BEL-F7U097VFWHT;3
2384;COM;BEL-WIA001VFBK;8
2385;COM;BEL-WIA001VFWH;10
2392;COM;QDO-QD-9206121-TG;19
2393;COM;QDO-QD-9206521-TG;7
2397;COM;QDO-QD-9205431-LK;10
2398;COM;QDO-QD-9206131-LN;7
2399;COM;QDO-QD-9206131-LK;10
2400;COM;QDO-QD-9206531-LN;5
2401;COM;QDO-QD-9206531-LK;5
2402;COM;QDO-QD-9205433-CL;17
2403;COM;QDO-QD-9206133-CL;11
2404;COM;QDO-QD-9206133-NCL;2
2405;COM;QDO-QD-9206133-SGCL;3
2406;COM;QDO-QD-9206533-CL;9
2407;COM;QDO-QD-9205421-TG;16
2408;COM;QDO-QD-3109240-K;3
2409;COM;QDO-QD-31292040-K;2
2410;COM;QDO-QD-3112040-K;1
2411;COM;QDO-QD-78221-TG;14
2437;COM;APP-MHKL3ZM/A;1
2438;COM;APP-MGN13ZM/A;5
2442;COM;APP-MHLE3ZM/A;2
2443;COM;APP-MHLA3ZM/A;2
2444;COM;APP-MHLD3ZM/A;2
2445;COM;APP-MHLG3ZM/A;5
2446;COM;APP-MHLF3ZM/A;2
2449;COM;APP-MHKQ3ZM/A;2
2450;COM;APP-MHKX3ZM/A;1
2451;COM;APP-MHKW3ZM/A;2
2452;COM;APP-MHKA3ZM/A;1
2453;COM;APP-MHK73ZM/A;1
2467;COM;APP-MQ4H2ZM/A;3
2470;COM;APP-MH0A3ZM/A;1
2472;COM;APP-MX4U2ZM/A;3
2483;COM;APP-MHL83ZM/A;2
2484;COM;APP-MHL93ZM/A;1
2485;COM;APP-MHLC3ZM/A;2
